v_products_model;v_preorder;v_products_name_1;v_products_description_1;v_products_image;v_products_price;v_products_roznica;v_categories_image_1;v_categories_name_1_1;v_categories_image_2;v_categories_name_2_1;v_categories_image_3;v_categories_name_3_1;v_categories_image_4;v_categories_name_4_1;v_categories_image_5;v_categories_name_5_1;v_categories_image_6;v_categories_name_6_1;v_categories_image_7;v_categories_name_7_1;v_manufacturers_name;v_mo_image_1;v_mo_image_2;v_mo_image_3;v_mo_image_4;v_mo_image_5;EOREOR
"T840154";"no";"A&E SCARLET PLUS SIZE STRAP ON SET";"<ul><li>Perfect for strap on fantasies. </li><li>Includes plus size boyshort panty and 2 dildos. </li><li>Soft and stretchy panty with strap-on opening. </li><li>One size fits most 14.0-20.0inch (35.6-50.8cm). </li><li>Black dildo 5.0x1.2inch (12.5x3.0cm). </li><li>Red dildo 4.1x0.8inch (10.5x2.0cm). </li></ul>";"T840154.jpg";"28.39";"1816";"";"СТРАПОНЫ";"";"ЛИТЫЕ";"";"";"";"";"";"";"";"";"";"";"Adam & Eve";"T840154-1.jpg";"";"";"";"";EOREOR
"T840152";"yes";"A&E FINGER BANGER BLUE";"<ul><li>Vibrating finger ring. </li><li>Stretchy TPR. </li><li>Single speed bullet. </li></ul>";"T840152.jpg";"5.46";"349";"";"ВИБРАТОРЫ";"";"ВИБРОПУЛИ";"";"";"";"";"";"";"";"";"";"";"Adam & Eve";"T840152-1.jpg";"";"";"";"";EOREOR
"T840151";"no";"A&E POWER O VIBRATING COCK RING PINK";"<ul><li>Makes erections harder and last longer. </li><li>Pleasure pearl for perineum stimulation. </li><li>Textured nubs around the pearl. </li><li>Powerful bullet lasts 30+ min. </li><li>Super stretchy TPR. </li><li>Latexfree. </li><li>Batteries included. </li></ul>";"T840151.jpg";"3.8";"243";"";"КОЛЬЦА";"";"";"";"";"";"";"";"";"";"";"";"";"Adam & Eve";"T840151-1.jpg";"";"";"";"";EOREOR
"T840149";"no";"A&E TRIPLE ERECTION SYSTEM CLEAR";"<ul><li>Attractive clear material. </li><li>3 Super stretchy ultra soft rings. </li><li>Can be worn individually or together. </li><li>3 Levels of support: extreme, intense and tight. </li><li>Rings range from 1.12x1.37inch (2.8x3.5cm). </li><li>Can be worn with condoms. </li><li>Waterproof. </li></ul>";"T840149.jpg";"2.87";"183";"";"КОЛЬЦА";"";"";"";"";"";"";"";"";"";"";"";"";"Adam & Eve";"T840149-1.jpg";"";"";"";"";EOREOR
"T840150";"yes";"A&E LOVE BULLET PINK";"<ul><li>Push button control. </li><li>Powerful single speed vibrations. </li><li>Sensual silky coat skin. </li><li>Waterproof. </li><li>Uses watch batteries, included. </li></ul>";"T840150.jpg";"5.46";"349";"";"ВИБРАТОРЫ";"";"ВИБРОПУЛИ";"";"";"";"";"";"";"";"";"";"";"Adam & Eve";"T840150-1.jpg";"";"";"";"";EOREOR
"T160305";"no";"Маска Love mask";"Маска черного цвета.";"T160305.jpg";"3.8";"243";"";"САДО-МАЗО, ФЕТИШ, БДСМ";"";"МАСКИ";"";"";"";"";"";"";"";"";"";"";"NMC";"";"";"";"";"";EOREOR
"T7225059BLK";"yes";"SEX SCANDAL SLASH-BACK MINI DRESS";"Skin is in! Get ripped in this wild,";"T7225059BLK.jpg";"14.69";"940";"";"СЕКС БЕЛЬЕ И КОСТЮМЫ";"";"КЛУБНАЯ ОДЕЖДА";"";"";"";"";"";"";"";"";"";"";"Pink Lipstick Lingerie ";"T7225059BLK-1.jpg";"";"";"";"";EOREOR
"T272208";"yes";"APHRODISIAC SPARKLING STRAWBERRY WINE";"<ul><li>Enhance sexual feeling and sensation of your sensual areas. </li><li>Apply, then gently rub, a small amount of oil on the desired area. </li><li>Blow on it lightly, and let the oils heating stimulant work its magic. </li><li>Then, gently savor your lovers body. </li><li>Use freely on any part of the body. </li><li> Edible. </li></ul>";"T272208.jpg";"12.3";"787";"";"КОСМЕТИКА И ПРЕПАРАТЫ";"";"ДЛЯ МАССАЖА";"";"";"";"";"";"";"";"";"";"";"Shunga";"T272208-1.jpg";"";"";"";"";EOREOR
"T7227006";"yes";"PLATINUM CLUB 3PC DRESS SET";"Versatile 3pc set can be worn with or without tube and hotshort (included). One size fits most.";"T7227006.jpg";"13.18";"843";"";"СЕКС БЕЛЬЕ И КОСТЮМЫ";"";"КЛУБНАЯ ОДЕЖДА";"";"";"";"";"";"";"";"";"";"";"Pink Lipstick Lingerie ";"T7227006-1.jpg";"";"";"";"";EOREOR
"T830092";"yes";"WAVE SILICONE DILDO";"Curved with pleasure bumps for maximum g-spot stimulation. Open cavity at base for bullet vibe insert. 6.25inch long, 1.25inch diameter. Matte Blue. Phthalate-free. Nonporous. Hypoallergenic.";"T830092.jpg";"39.95";"2556";"";"ФАЛЛОИМИТАТОРЫ";"";"КЛАССИЧЕСКИЕ";"";"";"";"";"";"";"";"";"";"";"Sportsheets";"T830092-1.jpg";"";"";"";"";EOREOR
"T330323";"yes";"LOVERBOY DOCTOR LOVE";"Are you hurting for some loving? Doctor Love has the cure. His credentials are quite impressive. With a waterproof fully adjustable multi speed vibrating cock he will rock your world with his powerful vibrations. Doctor Love measures a just right 6.5 inches";"T330323.jpg";"25.18";"1611";"";"ВИБРАТОРЫ";"";"РЕАЛИСТИКИ";"";"";"";"";"";"";"";"";"";"";"Blush";"T330323-1.jpg";"T330323-2.jpg";"";"";"";EOREOR
"DT44155";"no";"Шнур для бандажа JAPANESE SILK ROPE, RED";"Веревка для связывания выполнена из мягкого эластичного материала. Длина 10,5 метров. Маска на глаза в комплекте.";"DT44155.jpg";"8.8";"408";"";"САДО-МАЗО, ФЕТИШ, БДСМ";"";"БОНДАЖ";"";"";"";"";"";"";"";"";"";"";"Pipedream";"DT44155-1.jpg";"";"";"";"";EOREOR
"P53";"no";"Концентрат мужской _13 мл(шар)";"Концентрат феромонов БЕЗ ЗАПАХА дает уникальную возможность использовать феромоны, не отказываясь от своих любимых парфюмов. Его можно наносить вместе с любыми духами, одеколоном или туалетной водой, и он не изменит и не испортит их аромат, а станет Вашим секретным оружием обольщения.";"P53.gif";"8.25";"528";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P54";"no";"Концентрат мужской _15 мл(спр)";"Концентрат феромонов БЕЗ ЗАПАХА дает уникальную возможность использовать феромоны, не отказываясь от своих любимых парфюмов. Его можно наносить вместе с любыми духами, одеколоном или туалетной водой, и он не изменит и не испортит их аромат, а станет Вашим секретным оружием обольщения.";"P54.gif";"12.83";"821";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P55";"no";"Концентрат мужской _5 мл(шар)";"Концентрат феромонов БЕЗ ЗАПАХА дает уникальную возможность использовать феромоны, не отказываясь от своих любимых парфюмов. Его можно наносить вместе с любыми духами, одеколоном или туалетной водой, и он не изменит и не испортит их аромат, а станет Вашим секретным оружием обольщения.";"P55.gif";"6.41";"410";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P56";"no";"Пробник женский концентрат";"Концентрат феромонов БЕЗ ЗАПАХА дает уникальную возможность использовать феромоны, не отказываясь от своих любимых парфюмов. Его можно наносить вместе с любыми духами, одеколоном или туалетной водой, и он не изменит и не испортит их аромат, а станет Вашим секретным оружием обольщения.";"P56.jpg";"1";"64";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P57";"no";"Пробник мужской концентрат";"Концентрат феромонов БЕЗ ЗАПАХА дает уникальную возможность использовать феромоны, не отказываясь от своих любимых парфюмов. Его можно наносить вместе с любыми духами, одеколоном или туалетной водой, и он не изменит и не испортит их аромат, а станет Вашим секретным оружием обольщения.";"P57.jpg";"1";"64";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P58";"no";"Пробник женских духов Alcea_W_2ml";"Начальная нота: мандарин и бергамот в сочетание с ароматом листьев ежевики Нота ""сердца"": жасмин оттенен ароматом чая, орхидея, фиалка Заключительная нота: сандал, кедр Мягкий и глубокий, новый цветочно-фруктовый аромат ALCEA одновременно чувственный и немного томный. В нем нет юной свежести, присутствует основательность и уверенность зрелости. Для женщины, которая хочет семейного счастья. Она выросла из Amor Amor, но по-прежнему хочет сохранить своей стиль. Все когда-нибудь случается впервые: первая влюбленность, первое свидание, первые нежные слова, первый поцелуй... Как задержать в памяти эти сладкие мгновения и есть ли способ оживить их. чтобы вновь почувствовать себя юной и бесконечно счастливой? Конечно, мы не можем вернуться в тот день и в тот самый миг, но мы можем почувствовать их. ощутить на своей коже. Разве этого мало? Капля духов, сопровождавших вас тогда, — и вы снова влюблены. Пусть на миг. но... кто знает... Как нельзя забыть однажды услышанный аромат, так нельзя забыть любовь. Теперь пришло время очередного волнующего момента — взаимного обещания вечной любви и счастья. ""Я — это ты, а ты — это я. Мы созданы друг для друга. И я обещаю тебе, что каждый наш день будет соткан из ярких, неповторимых моментов"" — сказанные наедине, полушепотом, эти слова благоухают искрящимся незабываемым ароматом ALCEA с нотками пикантной ежевики, сладостной орхидеи, роскошного жасмина и таинственной амбры.";"P58.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P59";"no";"Пробник женских духов Bellis_W_2ml";"Начальная нота: лесные ягоды, гуава, шампанское Нота ""сердца"": орхидея, роза, манго Заключительная нота: шоколад, мускус, красное дерево Соблазнительная и интригующая, современная ориентальная парфюмерная композиция. Создает ауру соблазна благодаря аккорду сочных, спелых лесных ягод, в сочетании с волнующим ароматом орхидеи, цветущей только на закате и цветочным букетом, наполненным нежным прикосновением аромата бархатных лепестков розы и цветка манго... а аккорд искрящегося шампанского и белого шоколада делают аромат незабываемым. И лишь восхитительный шлейф, сексуальный и провоцирующий мелькнет за спиной незнакомки";"P59.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P60";"no";"Пробник женских духов Charmy_W_2ml";"Новый долгожданный аромат для женщин от CHARMY - это новая интерпретация женственности, цветочно-восточный аромат, который подчеркивает необыкновенную женскую красоту. Свежие начальные ноты мандарина образуют сияющее облако утонченной женственности, усиливая эмоции и подготавливая чувства к цветочному сердцу аромата из нежнейших лепестков фрезии, лилии и розы. Завершается этот чувственный порыв аккордом сливочного мускуса, который создает теплую шелковистую ауру вокруг своей обладательницы.   Начальная нота: мандарин, черная смородина, фрезия Нота ""сердца"": жасмин, лилия, роза Заключительная нота: лимонное дерево, мускус, амбра, абрикос";"P60.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P61";"no";"Пробник женских духов P61 Пробник женских духов Crystal_W_2ml";"Начальная нота: розовый грейпфрут, бергамот, листья смородины Нота ""сердца"": сахарная орхидея, белый кактус Заключительная нота: амбра, ванильное суфле, красный кедр Она не знает кто он, он не задумывается, как она выглядит, они встретились в веб чате и могут говорить там обо всем, не смотря на разделяющие их расстояния – отличная возможность пообщаться! Новый аромат CRYSTAL воплотил в себе притягательную силу поколения, способного свободно выражаться благодаря высоким технологиям, поколения, которое способно общаться со всем миром не выходя из дома – революционная возможность! Аромат CRYSTAL взрывается яркими нотами розового грейпфрута, бергамота и листьев смородины, продолжается необычным аккордом сахарной орхидеи и белого кактуса, завершаясь теплыми нотами неоновой амбры, ванильного суфле и красного кедра.";"P61.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P62";"no";"Пробник мужских духов Del_mari_M_2ml";"Начальная нота: Аромат уверенно открывается Манзаной Верде. Затем идёт пикантность и энергия только что собранных зелёных яблок. Плоды маклюры дают сладость, прозрачность, которые дополняются морозной туей и ледяной древесиной. Нота ""сердца"": Впечатляющая гармония цветочных нот жасмина с кедровыми листьями создаёт элегантное и утончённое тепло аромата. Заключительная нота: Это сочетание богатых мужских нот ценных древесных ароматов. Пачули добавляет чувственность и загадку, окутанные белым мускусом. Есть мужчины, которым нравится аромат победы. Есть мужчины, которым нравится сам поединок. А есть тот, кто всему этому предпочтет аромат предвкушения. Этот мужчина знает, что он рожден побеждать. Неуверенность в своих силах? Это чувство ему не ведомо. Его успех не приходит легко, но потому он особенно дорог. DEL MARI - это взрыв невероятной свежести и стиля. Он воспевает качества настоящего мужчины – уверенность в себе и стиль лидера. Создан для мужчин, которые всегда знают, чего хотят и идут к победе, несмотря ни на какие препятствия. Они видят мир по-своему, и всю жизнь готовы к тому решающему моменту, когда только их собственная сила, уверенность и талант, смогут... Новый парфюм DEL MARI в совершенстве выразил напряжение кульминации в захватывающей игре с жизнью. Этот спортивный парфюм дарит своему обладателю возможность взмыть на волне адреналина, рискнуть и... выиграть! Ориентирован предназначен молодым людям от 16 до 24 лет.";"P62.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P63";"no";"Пробник женских духов Diamo_W_2ml";"Начальная нота: давана, бергамот, фиалка, мимоза, фрезия, жасмин, ирис Нота ""сердца"": кориандр, герань, жасмин, ирис Заключительная нота: мускус, сантал, амбра Воздушные, тонкие, нежные, неуловимые, пленительно-утонченный аромат, воплощение естественной красоты. Создан на основе нового изобретения - эфирного масла льна, материала, традиционно используемого Черрути в производстве тканей на натуральной основе.";"P63.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P64";"no";"Пробник женских духов Divine_W_2ml";"Начальная нота: красный перец, фрезия. Нота ""сердца"": белый гелиотроп, иранский жасмин, гибискус, болгарская роза. Заключительная нота: кедр, сандал, мускус. DIVINE – аромат силы и уверенности в себе. Он предназначен женщинам, которые четко знают чего они хотят и как этого добиться, как в профессиональном, так и личном плане. А позитивное отношение к жизни позволяет им оставаться женственными и нежными. Сила и нежность, искренность и целеустремленность – черты женщины аромата DIVINE";"P64.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P65";"no";"Пробник женских духов Dijon_W_2ml";"Начальная нота: розовый пион, водный жасмин, розовый перец, личи, гранат, ананас Нота ""сердца"": розовый мускус, дикий жасмин, белый чай Заключительная нота: санталовое дерево, тиковое дерево, белый мускус Этот аромат дарит своей обладательнице то, что во все времена было главным законом женской привлекательности, - восхитительно ощущение собственной неотразимости. Словно магнит, чувство уверенности излучает невидимые волны, сводящие мужчин с ума. А потому женщина, наделенная тайной властью – силой соблазнения от нового аромата “DIJON”, - способна покорять сердца и завоевывать города одним взмахом ресниц, подобно сказочным красавицам далеких эпох. Но ей нет нужды искать мужчин: они сами идут на ее незримый, неистовый зов – зов магнетического аромата “DIJON”, представляющей в мировой модной индустрии философию итальянского соблазна.";"P65.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P66";"no";"Пробник мужских духов Ego_M_2ml";"Начальная нота: зеленое яблоко, плоды маклюры, туя Нотa ""сердца"": жасмин, листья кедрового дерева Заключительная нота: древесные ноты, пачули, белый мускус Есть мужчины, которым нравится аромат победы. Есть мужчины, которым нравится сам поединок. А есть тот, кто всему этому предпочтет аромат предвкушения. Этот мужчина знает, что он рожден побеждать. Неуверенность в своих силах? Это чувство ему не ведомо. Его успех не приходит легко, но потому он особенно дорог. Его аромат - сплетение будоражащих нот легкого волнения и предельной концентрации. И новый парфюм Style In Play от Lacoste в совершенстве выразил напряжение кульминации в захватывающей игре с жизнью. После утонченного Lacoste Pour Homme этот спортивный парфюм дарит своему обладателю возможность взмыть на волне адреналина, рискнуть и... выиграть!";"P66.jpg";"1.69";"108";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P67";"no";"Пробник женских духовEscado_W_2ml";"Начальная нота: апельсин, листья кориандра, семена кардамона Нота ""сердца"": жасмин, листья фиалки, масло семян моркови Заключительная нота: санталовое дерево, мускус, ваниль Есть женщины, созданные для утра: окутанные сияющим ореолом женственности, они словно впитали в себя первые краски зари. Женское отношение к жизни, уникальное в своей эмоциональности, - таково их кредо. Усталость и скука? Это не для них, ведь их цвет - розовый. Розовый во всех его проявлениях, включая и аромат. Особенно если это аромат “ESCADO”. Неуловимый и непосредственный, он призывает отбросить ложную скромность и жить, делая выбор сердцем. А таково призвание каждой, кто выбрал для себя вечно юную женственность и сияние нежно-розового сердца.";"P67.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P68";"no";"Пробник женских духов Fancy_W_2ml";"Начальная нота: лавр, зеленый сицилийский мандарин, ягоды черной смородины, розовый перец. Нота ""сердца"":магнолия, пион, лилия, провансальский ирис.  Заключительная нота:белая древесина, санталовое дерево, амбра, ваниль, белый мускус.   Этот аромат создан для женщин, чтобы раскрыть их темперамент и стиль, при этом относясь с уважением к их вкусу и устремлениям. Создетеля вдохновляли их улыбки, олицетворяющие их великодушие, оптимизм и веру в будущее. Аромат прославляет элегантную, уравновешенную современную женщину, которая живет, руководствуясь только своими решениями: личными и профессиональными. Она решительно улыбается жизни. Далекая от совершенства, она принимает свои слабости, которые делают ее человечнее, ближе к людям и по-своему уникальной. Етот аромат посвящен женщине, для которой красота невозможна без эмоций, ведь ее аромат - это аромат, в котором отражается жизнь ее чувств, легких и постоянных одновременно.";"P68.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P69";"no";"Пробник женских духов Iberis_W_2ml";"Начальная нота: шампанского, белых ягод и листьев гуавы. Нота ""сердца"": ароматы орхидеи, лепестков роз и цветка манго. Заключительная нота: оттенки белого шоколада, кашемирового мускуса и красной древесины. Это аромат, который пробуждает взаимный интерес между мужчиной и женщиной. Парфюм погружает в атмосферу, где опьяняющие эмоции и сексуальная чувственность переплетаются с многозначительными жестами и фразами. IBERIS позволит вам поддаться своим эмоциям и желаниям. Он раскрывает ту женскую сущность, которая есть в каждой, но не всегда видна. Уверенная в себе и идущая по жизни с гордо поднятой головой, женщина IBERIS оставляет на других неизгладимое впечатление своей сексуальностью и необузданностью. В парфюмерной композиции IBERIS соблазнительные ориентальные ноты переплетаются с магическими цветочными.";"P69.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P70";"no";"Пробник мужских духов Levante_M_2ml";"Ноты ""сердца"": сицилийский лимон, кофе, кардамон, лаванда, кедр, пачули Новый, восточный, древесно-фруктовый мужской аромат “LEVANTE” – это яркая иллюстрация средиземноморского стиля жизни: размеренного и легкого, веселого, насыщенного и эмоционального. Новинка Attitude располагает к проведению романтического вечера в уютном кафе на набережной за чашечкой ароматного кофе в компании очаровательной незнакомки. “LEVANTE” раскрывает скрытый от глаз потенциал настоящего мужчины, стильного и харизматичного, сильного и чувственного, обладающего изысканным вкусом, уверенностью и необыкновенным шармом.";"P70.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P71";"no";"Пробник женских духов Mistery_W_2ml";"Начальная нота: шампанского, белых ягод и листьев гуавы. Нота ""сердца"": ароматы орхидеи, лепестков роз и цветка манго. Заключительная нота: оттенки белого шоколада, кашемирового мускуса и красной древесины. Это аромат, который пробуждает взаимный интерес между мужчиной и женщиной. Парфюм погружает в атмосферу, где опьяняющие эмоции и сексуальная чувственность переплетаются с многозначительными жестами и фразами. MISTERY позволит вам поддаться своим эмоциям и желаниям. Он раскрывает ту женскую сущность, которая есть в каждой, но не всегда видна. Уверенная в себе и идущая по жизни с гордо поднятой головой, женщина MISTERY оставляет на других неизгладимое впечатление своей сексуальностью и необузданностью. В парфюмерной композиции MISTERY соблазнительные ориентальные ноты переплетаются с магическими цветочными.";"P71.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P72";"no";"Пробник женских духов Mocari_W_2ml";"Начальная нота: нарцисс, ландыш, пальмовое дерево Нота ""сердца"": фрезия, роза, гардения Заключительная нота: черная смородина, мускус, дубовый мох. “MOCARI” - светлый, прозрачный и живой аромат с отличительной нотой зелени. Легкий, цветочный, нежный, трепещущий и сексуальный букет восхитительных цветов. Неотразимый аромат, играющий противоположными чувствами: холодный и горячий, острый и мягкий, хрупкий и сильный, чистый и чувственный. Чувственная комбинация нарцисса и мускуса, коварная и захватывающая. Яркий и сексуальный аромат со многими аспектами. Освежающий и бодрящий букет цветочно-зеленых нот нарцисса, лилии, фрезии, гардении, черной смородины, пальмового дерева и мускуса прекрасно подойдут для дневного применения.";"P72.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
"P73";"no";"Пробник женских духов Molina_W_2ml";"Начальная нота: ямайский перец, пурпурная фрезия Нота ""сердца"": белый гелиотроп, иранский жасмин, гибискус, абсолю болгарской розы, абсолю амбровых зерен Заключительная нота: гималайский кедр, нота бархатистой кожи, санталовое дерево, ладан В мире, где женщины управляют многомиллионным бизнесом и становятся звездами боевиков, рождаются образы, которые более не кажутся неуместными. Женщина MOLINIA преодолевает все границы и завоевывает уважение своим профессионализмом. Тем не менее, позитивное отношение к жизни позволяет ей в полной мере демонстрировать свою женственность - ведь она не стремится подавлять или доминировать. Искренняя, открытая и увлеченная, она берет от жизни все и получает от этого удовольствие! И MOLINIA – идеальный спутник для современной женщины! Этот прекрасный женственный аромат заряжает энергией и поднимает настроение, придавая вам очарование искренней непосредственности. ";"P73.jpg";"1.28";"81";"";"ДУХИ С ФЕРОМОНАМИ";"";"";"";"";"";"";"";"";"";"";"";"";"PHEROLUXE";"";"";"";"";"";EOREOR
